 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  1.86E-03   2.07E-02   7.34E-03   7.28E-03
  1.91E-03   1.73E-02   6.01E-03   5.96E-03
  1.95E-03   1.45E-02   4.93E-03   4.89E-03
  2.00E-03   1.22E-02   4.06E-03   4.03E-03
  2.04E-03   1.03E-02   3.35E-03   3.33E-03
  2.09E-03   8.71E-03   2.79E-03   2.77E-03
  2.14E-03   7.42E-03   2.33E-03   2.31E-03
  2.19E-03   6.36E-03   1.95E-03   1.94E-03
  2.24E-03   5.48E-03   1.64E-03   1.64E-03
  2.29E-03   4.75E-03   1.39E-03   1.39E-03
  2.34E-03   4.14E-03   1.19E-03   1.18E-03
  2.40E-03   3.62E-03   1.02E-03   1.01E-03
  2.45E-03   3.19E-03   8.78E-04   8.75E-04
  2.51E-03   2.83E-03   7.61E-04   7.58E-04
  2.57E-03   2.53E-03   6.62E-04   6.60E-04
  2.63E-03   2.27E-03   5.79E-04   5.77E-04
  2.69E-03   2.04E-03   5.08E-04   5.07E-04
  2.75E-03   1.86E-03   4.48E-04   4.47E-04
  2.82E-03   1.69E-03   3.96E-04   3.95E-04
  2.88E-03   1.56E-03   3.51E-04   3.50E-04
  2.95E-03   1.44E-03   3.12E-04   3.11E-04
  3.02E-03   1.34E-03   2.77E-04   2.77E-04
  3.09E-03   1.25E-03   2.47E-04   2.46E-04
  3.16E-03   1.17E-03   2.19E-04   2.19E-04
  3.24E-03   1.11E-03   2.06E-04   2.06E-04
  3.31E-03   1.05E-03   1.94E-04   1.93E-04
  3.39E-03   9.89E-04   1.82E-04   1.82E-04
  3.47E-03   9.36E-04   1.72E-04   1.72E-04
  3.55E-03   8.88E-04   1.62E-04   1.62E-04
  3.63E-03   8.42E-04   1.53E-04   1.53E-04
  3.72E-03   8.00E-04   1.45E-04   1.45E-04
  3.80E-03   7.61E-04   1.38E-04   1.37E-04
  3.89E-03   7.25E-04   1.30E-04   1.30E-04
  3.98E-03   6.91E-04   1.24E-04   1.24E-04
  4.07E-03   6.59E-04   1.18E-04   1.17E-04
  4.17E-03   6.29E-04   1.12E-04   1.12E-04
  4.27E-03   6.01E-04   1.06E-04   1.06E-04
  4.37E-03   5.74E-04   1.01E-04   1.01E-04
  4.47E-03   5.50E-04   9.65E-05   9.64E-05
  4.57E-03   5.26E-04   9.20E-05   9.20E-05
  4.68E-03   5.05E-04   8.79E-05   8.78E-05
  4.79E-03   4.84E-04   8.39E-05   8.38E-05
