 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.25E-02   2.14E-04   1.27E-07   2.82E-11   3.90E-13   1.53E-13
   Max.:          3.25E+02   6.38E+00   3.08E-02   1.86E-06   7.23E-08   1.45E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
   -53     -52    8.94E+01   1.84E+00   5.54E-03   5.00E-07   1.72E-08   3.73E-09
   -52     -51    8.94E+01   1.84E+00   5.54E-03   5.00E-07   1.72E-08   3.73E-09
   -51     -50    8.94E+01   1.84E+00   5.54E-03   5.00E-07   1.72E-08   3.73E-09
   -50     -49    9.97E+01   2.06E+00   6.25E-03   5.65E-07   1.95E-08   4.12E-09
   -49     -48    9.97E+01   2.06E+00   6.25E-03   5.65E-07   1.95E-08   4.12E-09
   -48     -47    9.97E+01   2.06E+00   6.25E-03   5.65E-07   1.95E-08   4.12E-09
   -47     -46    9.97E+01   2.06E+00   6.25E-03   5.65E-07   1.95E-08   4.12E-09
   -46     -45    9.97E+01   2.06E+00   6.25E-03   5.65E-07   1.95E-08   4.12E-09
   -45     -44    9.97E+01   2.06E+00   6.25E-03   5.65E-07   1.95E-08   4.12E-09
   -44     -43    9.97E+01   2.06E+00   6.25E-03   5.65E-07   1.95E-08   4.12E-09
   -43     -42    9.97E+01   2.06E+00   6.25E-03   5.65E-07   1.95E-08   4.12E-09
   -42     -41    9.97E+01   2.06E+00   6.25E-03   5.65E-07   1.95E-08   4.12E-09
   -41     -40    9.97E+01   2.06E+00   6.25E-03   5.65E-07   1.95E-08   4.12E-09
   -40     -39    1.27E+02   2.64E+00   7.77E-03   6.98E-07   2.44E-08   5.13E-09
   -39     -38    1.27E+02   2.64E+00   7.77E-03   6.98E-07   2.44E-08   5.13E-09
   -38     -37    1.27E+02   2.64E+00   7.77E-03   6.98E-07   2.44E-08   5.13E-09
   -37     -36    1.27E+02   2.64E+00   7.77E-03   6.98E-07   2.44E-08   5.13E-09
   -36     -35    1.27E+02   2.64E+00   7.77E-03   6.98E-07   2.44E-08   5.13E-09
   -35     -34    1.27E+02   2.64E+00   7.77E-03   6.98E-07   2.44E-08   5.13E-09
   -34     -33    1.27E+02   2.64E+00   7.77E-03   6.98E-07   2.44E-08   5.13E-09
   -33     -32    1.27E+02   2.64E+00   7.77E-03   6.98E-07   2.44E-08   5.13E-09
   -32     -31    1.27E+02   2.64E+00   7.77E-03   6.98E-07   2.44E-08   5.13E-09
   -31     -30    1.27E+02   2.64E+00   7.77E-03   6.98E-07   2.44E-08   5.13E-09
