 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
   Max.:          1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
 ------  ------   --------   --------   --------   --------   --------   --------  
  18.2    18.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.3    18.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.4    18.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.5    18.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.6    18.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.7    18.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.8    18.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  18.9    19.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.0    19.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.1    19.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.2    19.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.3    19.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.4    19.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.5    19.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.6    19.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.7    19.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.8    19.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  19.9    20.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.0    20.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.1    20.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.2    20.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.3    20.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.4    20.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.5    20.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.6    20.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.7    20.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.8    20.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  20.9    21.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.0    21.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.1    21.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.2    21.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.3    21.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.4    21.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.5    21.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.6    21.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.7    21.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.8    21.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  21.9    22.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.0    22.1    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.1    22.2    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.2    22.3    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.3    22.4    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.4    22.5    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.5    22.6    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.6    22.7    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.7    22.8    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.8    22.9    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
  22.9    23.0    1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99   1.00E-99
