 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2024  Perigee Altitude =    550.000  Apogee Altitude =   550.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.04E-02   6.10E-05   1.42E-07   9.58E-12   5.50E-13   1.68E-13
   Max.:          9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
    41      42    2.70E+01   1.51E-01   8.18E-04   1.44E-07   1.17E-08   4.67E-09
    42      43    2.70E+01   1.51E-01   8.18E-04   1.44E-07   1.17E-08   4.67E-09
    43      44    2.70E+01   1.51E-01   8.18E-04   1.44E-07   1.17E-08   4.67E-09
    44      45    2.70E+01   1.51E-01   8.18E-04   1.44E-07   1.17E-08   4.67E-09
    45      46    2.70E+01   1.51E-01   8.18E-04   1.44E-07   1.17E-08   4.67E-09
    46      47    2.70E+01   1.51E-01   8.18E-04   1.44E-07   1.17E-08   4.67E-09
    47      48    2.70E+01   1.51E-01   8.18E-04   1.44E-07   1.17E-08   4.67E-09
    48      49    2.70E+01   1.51E-01   8.18E-04   1.44E-07   1.17E-08   4.67E-09
    49      50    2.70E+01   1.51E-01   8.18E-04   1.44E-07   1.17E-08   4.67E-09
    50      51    2.50E+01   1.50E-01   8.13E-04   1.28E-07   9.59E-09   3.59E-09
    51      52    2.50E+01   1.50E-01   8.13E-04   1.28E-07   9.59E-09   3.59E-09
    52      53    2.50E+01   1.50E-01   8.13E-04   1.28E-07   9.59E-09   3.59E-09
    53      54    2.50E+01   1.50E-01   8.13E-04   1.28E-07   9.59E-09   3.59E-09
    54      55    2.50E+01   1.50E-01   8.13E-04   1.28E-07   9.59E-09   3.59E-09
    55      56    2.50E+01   1.50E-01   8.13E-04   1.28E-07   9.59E-09   3.59E-09
    56      57    2.50E+01   1.50E-01   8.13E-04   1.28E-07   9.59E-09   3.59E-09
    57      58    2.50E+01   1.50E-01   8.13E-04   1.28E-07   9.59E-09   3.59E-09
    58      59    2.50E+01   1.50E-01   8.13E-04   1.28E-07   9.59E-09   3.59E-09
    59      60    2.50E+01   1.50E-01   8.13E-04   1.28E-07   9.59E-09   3.59E-09
    60      61    2.01E+01   1.00E-01   5.43E-04   9.71E-08   8.07E-09   2.93E-09
    61      62    2.01E+01   1.00E-01   5.43E-04   9.71E-08   8.07E-09   2.93E-09
    62      63    2.01E+01   1.00E-01   5.43E-04   9.71E-08   8.07E-09   2.93E-09
    63      64    2.01E+01   1.00E-01   5.43E-04   9.71E-08   8.07E-09   2.93E-09
    64      65    2.01E+01   1.00E-01   5.43E-04   9.71E-08   8.07E-09   2.93E-09
    65      66    2.01E+01   1.00E-01   5.43E-04   9.71E-08   8.07E-09   2.93E-09
    66      67    2.01E+01   1.00E-01   5.43E-04   9.71E-08   8.07E-09   2.93E-09
    67      68    2.01E+01   1.00E-01   5.43E-04   9.71E-08   8.07E-09   2.93E-09
    68      69    2.01E+01   1.00E-01   5.43E-04   9.71E-08   8.07E-09   2.93E-09
    69      70    2.01E+01   1.00E-01   5.43E-04   9.71E-08   8.07E-09   2.93E-09
    70      71    1.86E+01   8.44E-02   4.78E-04   8.61E-08   7.56E-09   2.63E-09
    71      72    1.86E+01   8.44E-02   4.78E-04   8.61E-08   7.56E-09   2.63E-09
    72      73    1.86E+01   8.44E-02   4.78E-04   8.61E-08   7.56E-09   2.63E-09
    73      74    1.86E+01   8.44E-02   4.78E-04   8.61E-08   7.56E-09   2.63E-09
    74      75    1.86E+01   8.44E-02   4.78E-04   8.61E-08   7.56E-09   2.63E-09
    75      76    1.86E+01   8.44E-02   4.78E-04   8.61E-08   7.56E-09   2.63E-09
    76      77    1.86E+01   8.44E-02   4.78E-04   8.61E-08   7.56E-09   2.63E-09
    77      78    1.86E+01   8.44E-02   4.78E-04   8.61E-08   7.56E-09   2.63E-09
    78      79    1.86E+01   8.44E-02   4.78E-04   8.61E-08   7.56E-09   2.63E-09
    79      80    1.86E+01   8.44E-02   4.78E-04   8.61E-08   7.56E-09   2.63E-09
    80      81    1.08E+01   4.78E-02   2.99E-04   6.09E-08   5.07E-09   1.82E-09
    81      82    1.08E+01   4.78E-02   2.99E-04   6.09E-08   5.07E-09   1.82E-09
    82      83    1.08E+01   4.78E-02   2.99E-04   6.09E-08   5.07E-09   1.82E-09
    83      84    1.08E+01   4.78E-02   2.99E-04   6.09E-08   5.07E-09   1.82E-09
