 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2024  Perigee Altitude =    550.000  Apogee Altitude =   550.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  2.88E-03   3.31E-04   1.03E-04   1.02E-04
  2.95E-03   3.08E-04   9.50E-05   9.44E-05
  3.02E-03   2.88E-04   8.81E-05   8.77E-05
  3.09E-03   2.70E-04   8.22E-05   8.18E-05
  3.16E-03   2.55E-04   7.71E-05   7.67E-05
  3.24E-03   2.41E-04   7.27E-05   7.23E-05
  3.31E-03   2.28E-04   6.85E-05   6.82E-05
  3.39E-03   2.16E-04   6.47E-05   6.44E-05
  3.47E-03   2.05E-04   6.11E-05   6.08E-05
  3.55E-03   1.94E-04   5.78E-05   5.76E-05
  3.63E-03   1.85E-04   5.48E-05   5.45E-05
  3.72E-03   1.76E-04   5.19E-05   5.17E-05
  3.80E-03   1.67E-04   4.93E-05   4.90E-05
  3.89E-03   1.59E-04   4.68E-05   4.66E-05
  3.98E-03   1.52E-04   4.45E-05   4.42E-05
  4.07E-03   1.45E-04   4.23E-05   4.21E-05
  4.17E-03   1.38E-04   4.03E-05   4.01E-05
  4.27E-03   1.32E-04   3.84E-05   3.82E-05
  4.37E-03   1.27E-04   3.66E-05   3.64E-05
  4.47E-03   1.21E-04   3.49E-05   3.47E-05
  4.57E-03   1.16E-04   3.33E-05   3.32E-05
  4.68E-03   1.12E-04   3.18E-05   3.17E-05
  4.79E-03   1.07E-04   3.05E-05   3.03E-05
  4.90E-03   1.03E-04   2.91E-05   2.90E-05
  5.01E-03   9.87E-05   2.79E-05   2.78E-05
  5.13E-03   9.49E-05   2.67E-05   2.66E-05
  5.25E-03   9.13E-05   2.56E-05   2.55E-05
  5.37E-03   8.79E-05   2.46E-05   2.45E-05
  5.50E-03   8.47E-05   2.36E-05   2.35E-05
  5.62E-03   8.16E-05   2.27E-05   2.26E-05
  5.75E-03   7.87E-05   2.18E-05   2.17E-05
  5.89E-03   7.59E-05   2.09E-05   2.08E-05
  6.03E-03   7.32E-05   2.01E-05   2.00E-05
  6.17E-03   7.07E-05   1.93E-05   1.93E-05
  6.31E-03   6.82E-05   1.86E-05   1.85E-05
  6.46E-03   6.59E-05   1.79E-05   1.79E-05
  6.61E-03   6.37E-05   1.73E-05   1.72E-05
  6.76E-03   6.16E-05   1.66E-05   1.66E-05
  6.92E-03   5.95E-05   1.60E-05   1.59E-05
  7.08E-03   5.76E-05   1.54E-05   1.54E-05
  7.24E-03   5.57E-05   1.49E-05   1.48E-05
  7.41E-03   5.39E-05   1.43E-05   1.43E-05
  7.59E-03   5.21E-05   1.38E-05   1.38E-05
  7.76E-03   5.04E-05   1.33E-05   1.33E-05
  7.94E-03   4.88E-05   1.28E-05   1.28E-05
  8.13E-03   4.72E-05   1.24E-05   1.23E-05
  8.32E-03   4.57E-05   1.19E-05   1.19E-05
  8.51E-03   4.42E-05   1.15E-05   1.15E-05
  8.71E-03   4.28E-05   1.11E-05   1.11E-05
  8.91E-03   4.14E-05   1.07E-05   1.07E-05
  9.12E-03   4.00E-05   1.03E-05   1.03E-05
  9.33E-03   3.87E-05   9.94E-06   9.91E-06
  9.55E-03   3.74E-05   9.58E-06   9.55E-06
  9.77E-03   3.62E-05   9.23E-06   9.20E-06
  1.00E-02   3.50E-05   8.89E-06   8.86E-06
  1.02E-02   3.38E-05   8.60E-06   8.57E-06
  1.05E-02   3.27E-05   8.32E-06   8.29E-06
  1.07E-02   3.17E-05   8.05E-06   8.02E-06
  1.10E-02   3.06E-05   7.79E-06   7.77E-06
  1.12E-02   2.97E-05   7.55E-06   7.52E-06
  1.15E-02   2.87E-05   7.31E-06   7.29E-06
  1.17E-02   2.78E-05   7.09E-06   7.07E-06
  1.20E-02   2.70E-05   6.87E-06   6.85E-06
  1.23E-02   2.62E-05   6.66E-06   6.64E-06
  1.26E-02   2.54E-05   6.46E-06   6.44E-06
  1.29E-02   2.46E-05   6.27E-06   6.25E-06
  1.32E-02   2.39E-05   6.09E-06   6.07E-06
  1.35E-02   2.32E-05   5.91E-06   5.89E-06
  1.38E-02   2.25E-05   5.74E-06   5.72E-06
  1.41E-02   2.18E-05   5.58E-06   5.56E-06
  1.45E-02   2.12E-05   5.42E-06   5.40E-06
  1.48E-02   2.06E-05   5.26E-06   5.25E-06
  1.51E-02   2.00E-05   5.12E-06   5.10E-06
  1.55E-02   1.94E-05   4.97E-06   4.96E-06
  1.58E-02   1.89E-05   4.84E-06   4.82E-06
  1.62E-02   1.84E-05   4.70E-06   4.69E-06
  1.66E-02   1.78E-05   4.57E-06   4.56E-06
  1.70E-02   1.74E-05   4.45E-06   4.43E-06
  1.74E-02   1.69E-05   4.33E-06   4.31E-06
  1.78E-02   1.64E-05   4.21E-06   4.20E-06
  1.82E-02   1.59E-05   4.09E-06   4.08E-06
  1.86E-02   1.55E-05   3.98E-06   3.97E-06
  1.91E-02   1.51E-05   3.88E-06   3.87E-06
  1.95E-02   1.47E-05   3.77E-06   3.76E-06
  2.00E-02   1.43E-05   3.67E-06   3.66E-06
  2.04E-02   1.39E-05   3.57E-06   3.56E-06
  2.09E-02   1.35E-05   3.48E-06   3.47E-06
  2.14E-02   1.31E-05   3.39E-06   3.38E-06
  2.19E-02   1.28E-05   3.30E-06   3.29E-06
  2.24E-02   1.24E-05   3.21E-06   3.20E-06
  2.29E-02   1.21E-05   3.12E-06   3.11E-06
  2.34E-02   1.17E-05   3.04E-06   3.03E-06
  2.40E-02   1.14E-05   2.96E-06   2.95E-06
  2.45E-02   1.11E-05   2.88E-06   2.87E-06
  2.51E-02   1.08E-05   2.80E-06   2.79E-06
  2.57E-02   1.05E-05   2.73E-06   2.72E-06
  2.63E-02   1.02E-05   2.66E-06   2.65E-06
  2.69E-02   9.94E-06   2.59E-06   2.58E-06
  2.75E-02   9.67E-06   2.52E-06   2.51E-06
  2.82E-02   9.41E-06   2.45E-06   2.44E-06
  2.88E-02   9.15E-06   2.39E-06   2.38E-06
  2.95E-02   8.90E-06   2.33E-06   2.32E-06
  3.02E-02   8.66E-06   2.26E-06   2.26E-06
  3.09E-02   8.43E-06   2.21E-06   2.20E-06
  3.16E-02   8.20E-06   2.15E-06   2.14E-06
  3.24E-02   7.97E-06   2.08E-06   2.07E-06
  3.31E-02   7.72E-06   2.00E-06   2.00E-06
  3.39E-02   7.47E-06   1.93E-06   1.92E-06
  3.47E-02   7.22E-06   1.86E-06   1.85E-06
  3.55E-02   6.99E-06   1.79E-06   1.78E-06
  3.63E-02   6.77E-06   1.72E-06   1.72E-06
  3.72E-02   6.57E-06   1.67E-06   1.66E-06
  3.80E-02   6.39E-06   1.61E-06   1.61E-06
  3.89E-02   6.23E-06   1.57E-06   1.56E-06
  3.98E-02   6.07E-06   1.52E-06   1.52E-06
  4.07E-02   5.93E-06   1.48E-06   1.48E-06
  4.17E-02   5.80E-06   1.44E-06   1.44E-06
